period,health_centre,location,tot_patients_waiting,pct_patients_normal_waiting_time,patients_normal_waiting_time,region,year,month
2018-01,"Centro Hospitalar de Leiria, EPE","[39.7414812, -8.7982706]",6500,82.7,5378,Central,2018,1
2018-01,"Unidade Local de Saúde da Guarda, EPE","[40.5309916, -7.2734793]",2023,61.8,1250,Central,2018,1
2018-01,"Centro Hospitalar Barreiro/Montijo, EPE","[38.6554005, -9.0592392]",2811,60.9,1711,Lisbon and Tagus Valley,2018,1
2018-01,"Centro Hospitalar Médio Tejo, EPE","[39.478072, -8.5404429]",4159,71.7,2982,Lisbon and Tagus Valley,2018,1
2018-01,"Hospital Distrital de Santarém, EPE","[39.2410946, -8.6937515]",3984,46.5,1853,Lisbon and Tagus Valley,2018,1
2018-01,"Hospital Fernando Fonseca, EPE","[38.7422257, -9.2264834]",6913,61.5,4250,Lisbon and Tagus Valley,2018,1
2018-01,"Hospital Santa Maria Maior, EPE","[41.5324234, -8.6171561]",1330,95.4,1269,Northern,2018,1
2018-01,"Unidade Local de Saúde do Nordeste, EPE","[41.8056532, -6.7888197]",2314,86.8,2008,Northern,2018,1
2018-02,"Centro Hospitalar e Universitário de Coimbra, EPE","[40.2191523, -8.4098211]",16419,64.7,10623,Central,2018,2
2018-02,"Unidade Local de Saúde da Guarda, EPE","[40.5309916, -7.2734793]",2014,62.5,1259,Central,2018,2
2018-02,"Centro Hospitalar de Lisboa Central, EPE","[38.7166948, -9.1371248]",13538,60.7,8220,Lisbon and Tagus Valley,2018,2
2018-02,"Hospital Fernando Fonseca, EPE","[38.7422257, -9.2264834]",6947,62.9,4368,Lisbon and Tagus Valley,2018,2
2018-02,"Hospital da Senhora da Oliveira, Guimarães, EPE","[41.4387173, -8.3086907]",5639,69.8,3935,Northern,2018,2
2018-02,"Hospital de Braga, PPP","[41.56785, -8.398982]",17499,67.2,11753,Northern,2018,2
2018-03,"Hospital Espírito Santo de Évora, EPE","[38.5684861, -7.9032848]",3976,61.0,2424,Alentejo,2018,3
2018-03,"Unidade Local de Saúde do Litoral Alentejano, EPE","[38.0162314, -8.6956768]",1506,75.6,1138,Alentejo,2018,3
2018-03,"Unidade Local de Saúde do Norte Alentejano, EPE","[39.3003425, -7.4263845]",1512,76.8,1161,Alentejo,2018,3
2018-03,"Centro Hospitalar e Universitário de Coimbra, EPE","[40.2191523, -8.4098211]",16609,65.9,10941,Central,2018,3
2018-03,"Centro Hospitalar Barreiro/Montijo, EPE","[38.6554005, -9.0592392]",2826,64.3,1817,Lisbon and Tagus Valley,2018,3
