urgent_surgeries,location,region,conventional_surgeries,health_centre,period,scheduled_surgeries,ambulatory_surgeries,year,month
204.0,"[38.730076, -9.418207]",Lisbon and Tagus Valley,155.0,"Hospital de Cascais, PPP",2024-01,1001,846,2024,1
101.0,"[41.383183, -8.758784]",Northern,228.0,"Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE",2024-01,611,383,2024,1
272.0,"[41.562328338623, -8.3]",Northern,672.0,"Unidade Local de Saúde de Braga, EPE",2024-01,2900,2228,2024,1
488.0,"[41.1833, -8.60193]",Northern,1842.0,"Unidade Local de Saúde de São João, EPE",2024-01,5222,3380,2024,1
271.0,"[41.1254463195801, -8.0]",Northern,836.0,"Unidade Local de Saúde de Vila Nova de Gaia/Espinho, EPE",2024-01,2853,2017,2024,1
122.0,"[38.0146, -7.86863]",Alentejo,132.0,"Unidade Local de Saúde do Baixo Alentejo, EPE",2024-01,370,238,2024,1
43.0,"[40.130297609, -8.8606]",Central,110.0,"Unidade Local de Saúde do Baixo Mondego, EPE",2024-01,589,479,2024,1
102.0,"[39.605565, -8.404399]",Lisbon and Tagus Valley,334.0,"Unidade Local de Saúde do Médio Tejo, EPE",2024-01,996,662,2024,1
148.0,"[39.4055519104004, -9.0]",Lisbon and Tagus Valley,199.0,"Unidade Local de Saúde do Oeste, EPE",2024-01,853,654,2024,1
177.0,"[38.730076, -9.418207]",Lisbon and Tagus Valley,196.0,"Hospital de Cascais, PPP",2025-01,1425,1229,2025,1
44.0,"[38.739946, -9.161139]",Lisbon and Tagus Valley,485.0,"Instituto Português Oncologia  F. Gentil - Lisboa, E.P.E.",2025-01,815,330,2025,1
45.0,"[41.1811, -8.60469]",Northern,540.0,"Instituto Português Oncologia  F. Gentil - Porto, E.P.E.",2025-01,1006,466,2025,1
68.0,"[39.822737, -7.499876]",Central,270.0,"Unidade Local de Saúde Castelo Branco, EPE",2025-01,676,406,2025,1
137.0,"[39.232503, -8.715083]",Lisbon and Tagus Valley,115.0,"Unidade Local de Saúde da Lezíria, EPE",2025-01,662,547,2025,1
98.0,"[41.383183, -8.758784]",Northern,202.0,"Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE",2025-01,614,412,2025,1
201.0,"[40.6509, -7.91039]",Central,590.0,"Unidade Local de Saúde de Dão-Lafões, EPE",2025-01,2306,1716,2025,1
